name,anxiety,optimistic,party,religious,riding,terror,total words
Adam Vaughan,0.005003694949483553,0.006019100914429483,Liberal,0.0005133441267226645,Spadina—Fort York,0.0017656781501559776,177269
Ahmed Hussen,0.003851773143843804,0.01020055784300704,Liberal,0.00034533138531013416,York South—Weston,0.004117412671005446,37645
Aileen Carroll,0.004074376840930619,0.010276772159289968,Liberal,0.0005709317866272205,Barrie,0.004178182620317386,77067
Alain Boire,0.00960133583802964,0.006331315661309399,Bloc Québécois,0.00013914979475405275,Beauharnois--Salaberry,0.0018089473318026856,14373
Alain Giguère,0.003819323334495989,0.006444018137425881,New Democratic Party,0.0005231949773282176,Marc-Aurèle-Fortin,0.0028339727938611788,114680
Alain Rayes,0.0037209302325581397,0.0065116279069767444,Conservative,0.0003695444409047467,Richmond—Arthabaska,0.001911436763300414,78475
Alaina Lockhart,0.005819979271306705,0.00932791198277924,Liberal,0.0006378059475404608,Fundy Royal,0.001195886151638364,25086
Alan Tonks,0.0027825655930694966,0.00798720245136143,Liberal,0.0009688285060889745,York South--Weston,0.0017686752959996394,177534
Albina Guarnieri,0.003751733137590735,0.009664790800097871,Liberal,0.0014272897806051708,Mississauga East--Cooksville,0.003914851969659897,24522
Alex Atamanenko,0.004045136265175558,0.006997128608130573,New Democratic Party,0.0003224018941111279,British Columbia Southern Interior,0.002669890685607778,198510
Alex Nuttall,0.005025125628140704,0.008638699113545254,Conservative,0.0008092898951687275,Barrie—Springwater—Oro-Medonte,0.0005834415523309431,53133
Alex Shepherd,0.002267549668874172,0.006018543046357616,Liberal,0.00031788079470198677,Durham,0.0009960264900662251,94375
Alexa McDonough,0.0049169254292491605,0.007469642305456792,New Democratic Party,0.000827342085006781,Halifax,0.0030475512245186492,381946
Alexandra Mendes,0.004545593215168248,0.007352268220507032,Liberal,0.000320327038652796,Brossard—Saint-Lambert,0.002089752585496812,65558
Alexandre Boulerice,0.004225621200031468,0.006387131335153947,New Democratic Party,0.0002697205021296681,Rosemont—La Petite-Patrie,0.001876805160652274,266943
Alexandrine Latendresse,0.004057690511965094,0.007071247272943354,New Democratic Party,0.000602711352195652,Louis-Saint-Laurent,0.0018845340871469682,117801
Alfonso Gagliano,0.003676470588235294,0.007272139625080802,Liberal,4.040077569489334e-05,Saint-Léonard--Saint-Michel,0.0010908209437621203,24752
Ali Ehsassi,0.004424387222369702,0.013361649411556499,Liberal,0.0013273161667109105,Willowdale,0.006592336961330856,22602
Alice Wong,0.005912961210974456,0.009439236260428313,Conservative,0.00040853186548550787,Richmond Centre,0.0015266190762879505,46508
Alistair MacGregor,0.0043580357759513775,0.007182816492851716,New Democratic Party,0.0005663374542440777,Cowichan—Malahat—Langford,0.0016092271565715864,144790
Allan Kerpan,0.002471169686985173,0.006589785831960461,Conservative,0.0,Blackstrap,0.0016474464579901153,1214
Allan Rock,0.0038803059077144176,0.008027511163578504,Liberal,0.0003900836626802854,Etobicoke Centre,0.002022275830210953,97415
